fossil_id,description,object_name,strat_type,period,taxonomy,url
7266,"Numerous fossilised shells and moulds of the Ordovician gastropod Bellerophon perturbatus. Found near Vennington, Shropshire.",Gastropod,"Chronostratigraphy, Lithostratigraphy",Ordovician Period,Bellerophon perturbatus,https://data.nhm.ac.uk/media/ludlow:G.06502.jpg
6780,"Fossilised remains of fragment of the phragmacone of the Silurian orthocone cephalopod, Orthoceras ludense.",Cephalopod,Chronostratigraphy,Silurian Period,Orthoceras ludense,https://data.nhm.ac.uk/media/ludlow:G.02274a.jpg; https://data.nhm.ac.uk/media/ludlow:G.02274b.jpg
7039,Fossilised shell remains of the Silurian gastropod Poleumita globosa found in the Ludlow district.,Gastropod,Chronostratigraphy,Silurian Period,Poleumita globosa,https://data.nhm.ac.uk/media/ludlow:G.04106.jpg
6792,"Fossilised remains of a complete fossilised exoskeleton of the Ordovician trilobite Trinucleus gibbsi? The cephalon displays a fimbriated margin and inflated glabella, whilst the thorax has very clearly defined pleura.",Trilobite,Chronostratigraphy,Ordovician Period,Trinucleus gibbsi,https://data.nhm.ac.uk/media/ludlow:G.02522.jpg
6900,Fossilised remains of a Devonian Cepalasid fish found at the junction of Stapley and Hudwick Dingle,Fish,Chronostratigraphy,Devonian Period,Cephalaspida,https://data.nhm.ac.uk/media/ludlow:G.03441.002.jpg
7137,"Fossilised fragment of the phragmacone of the Silurian cephalopod, Kionoceras angulatum. Found at Landeilo Hill, Radnorshire.",Cephalopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Kionoceras angulatum,https://data.nhm.ac.uk/media/ludlow:G.05018.jpg
6992,Fossilised remains of the Silurian graptolite Monograptus sp. found at Elton.,Graptolite,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Monograptus sp.,https://data.nhm.ac.uk/media/ludlow:G.03821.jpg
7045,"Fossilised remains of part and counterpart of a large waterworn nodule containing a death assemblage of fragments of the phragmocones of the Silurian orthocone nautiloid, Orthoceras gregarium. Individual fossils display features including, suture lines, septal surfaces and septal foramen. Phragmocone fragments display a preferred orientation, indicating concentration and alignment by current action. Mounted on card.",Cephalopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Orthoceras gregarium,https://data.nhm.ac.uk/media/ludlow:G.04137.002.jpg
6802,"Fossilised remains of a complete exoskeleton of an Ordovician trilobite, probably Cryptolithus sp. Thought to have been found at Hillside, Llandrindod Wells. Part and counterpart with G.02618.002",Trilobite,Chronostratigraphy,Ordovician Period,Cryptolithus sp.,https://data.nhm.ac.uk/media/ludlow:G.02618.001a.jpg; https://data.nhm.ac.uk/media/ludlow:G.02618.001b.jpg
7122,"Fossilised remains of the phragmocone of the Silurian orthocone cephalopod Orthoceras attenuatum showing chambers divided by septa into camerae. Found in Sunken Lane, Burrington, Shropshire.",Cephalopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Orthoceras attenuatum,https://data.nhm.ac.uk/media/ludlow:G.04924.jpg
7315,"Fossilised shell remains of the Silurian bivalve Fuchsella amygdelina found at Whitcliffe, Ludlow.",BIVALVE,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Fuchsella amygdalina,https://data.nhm.ac.uk/media/ludlow:G.06927.jpg
7114,Fossilised remains of thorax and pygidium of the Silurian trilobite Calymene sp. found at Burrington.,Trilobite,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Calymene sp.,https://data.nhm.ac.uk/media/ludlow:G.04890.jpg
6873,"Fossilised remains of the ventral head shield of a Silurian heterstracan fish, Phialaspis symondsi found at Devil's Hole, Morville.",Fish,Chronostratigraphy,Silurian Period,Phialaspis symondsi,https://data.nhm.ac.uk/media/ludlow:G.03296a.jpg; https://data.nhm.ac.uk/media/ludlow:G.03296b.jpg
6818,Fossilised remains of pygidium of the Silurian trilobite Encrinurus punctatus and shell remains of the Silurian brachiopod Camarotoechia nucula and gastropod Poleumita sp. found in the quarry below Mortimer Forest.,Trilobite; Brachiopod; Gastropod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Encrinurus punctatus; Camarotoechia nucula; Poleumita sp.,https://data.nhm.ac.uk/media/ludlow:G.02829.jpg; https://data.nhm.ac.uk/media/ludlow:G.02829b.jpg
7126,"Part of a Silurian fossil brachiopod, Atrypa reticularis found at Dow, End Walsall",Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Atrypa reticularis,https://data.nhm.ac.uk/media/ludlow:G.04947.002.jpg
7140,Fragment of a septal surface of a Leurocycloceras whitcliffense cephalopod fossil. Silurian. Found at Whitcliffe.,Cephalopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Leurocycloceras whitcliffense,https://data.nhm.ac.uk/media/ludlow:G.05092.jpg
6998,"Fossilised remains of Carboniferous plant, Alethopteris decurrens",Plant,Chronostratigraphy,Carboniferous Period,Alethopteris decurrens,https://data.nhm.ac.uk/media/ludlow:G.03844.jpg
6888,"Fossilised remains of fragments of the Silurian heterostracan fish Cephalaspis sp. found in Sheet Road, Ludlow",Fish,Chronostratigraphy,Silurian Period,Cephalaspis sp.,https://data.nhm.ac.uk/media/ludlow:G.03380.001.jpg
7056,"Fossilised remains of an adpression of a part of the stem of Carboniferous plant, Sigillaria, found at Highley Colliery, Shropshire.",Plant,"Chronostratigraphy, Lithostratigraphy",Carboniferous Period,Sigillaria sp.,https://data.nhm.ac.uk/media/ludlow:G.04262a.jpg; https://data.nhm.ac.uk/media/ludlow:G.04262b.jpg
7339,Fossilised remains of cephalon of the Silurian trilobite Dalmanites sp. showing the left genal spine and compound eye. Found at Wren's Nest.,Trilobite,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Dalmanites sp.,https://data.nhm.ac.uk/media/ludlow:G.07243.jpg; https://data.nhm.ac.uk/media/ludlow:G.07243a.jpg; https://data.nhm.ac.uk/media/ludlow:G.07243b.jpg; https://data.nhm.ac.uk/media/ludlow:G.07243c.jpg; https://data.nhm.ac.uk/media/ludlow:G.07243d.jpg; https://data.nhm.ac.uk/media/ludlow:G.07243e.jpg; https://data.nhm.ac.uk/media/ludlow:G.07243f.jpg
7350,Fossilised shell remains of the Silurian brachiopod Gypidula galeata found in Shadwell Quarry.,Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Gypidula galeata,https://data.nhm.ac.uk/media/ludlow:G.07469b.jpg; https://data.nhm.ac.uk/media/ludlow:G.07469a.jpg
6796,Fossilised remains of the cephalon of Ordovician trilobites found at Llanfawr Quarry,Trilobite,Chronostratigraphy,Ordovician Period,TRILOBITA,https://data.nhm.ac.uk/media/ludlow:G.02552a.jpg; https://data.nhm.ac.uk/media/ludlow:G.02552b.jpg
7116,"Fossilised remains of cephalon from the Ordovician trilobite Trinucleus fimbriatus (a) and pygidium from the trilobite Platycalymene duplicata (b). Found at Llanfawr Quarry, Llandrindod Wells. Counterpart to trilobite specimen G.04897.002.",Trilobite,Chronostratigraphy,Ordovician Period,Trinucleus fimbriatus; Platycalymene duplicata,https://data.nhm.ac.uk/media/ludlow:G.04897.001.jpg
6871,"Fossilised remains of Silurian heterostracan fish Phialaspis symondsi found at Devil's Hole, Morville",Fish,Chronostratigraphy,Silurian Period,Phialaspis symondsi,https://data.nhm.ac.uk/media/ludlow:G.03291.jpg
